id,en,es
MENU_NEW_GAME,NEW GAME, NUEVO JUEGO
MENU_CONTINUE,CONTINUE,CONTINUAR
MENU_LOAD,LOAD,CARGAR
MENU_SETTINGS,SETTINGS,AJUSTES
MENU_CREDITS,CREDITS,CREDITOS
MENU_EXIT,EXIT,SALIR
SETTINGS_RETURN,RETURN,REGRESAR
MENU_APPLY,Apply,Aplicar
MENU_SELECTED,Selected,Seleccionado
SETTINGS_GAME,Game,Juego
SETTINGS_VIDEO_WINDOWED,Windowed,Modo Ventana
SETTINGS_VIDEO_FULLSCREEN,Fullscreen,Pantalla Completa
SETTINGS_VIDEO,Video,Video
SETTINGS_AUDIO,Audio,Audio
SETTINGS_LANGUAGE,Language,Lenguaje
SETTINGS_TITLE,SETTINGS,AJUSTES
SETTINGS_DISPLAY_MODE,DISPLAY MODE:,MODO DE VISUALIZACION:
SETTINGS_AUDIO_VOLUME_MASTER,Volume Master,Volumen Maestro
SETTINGS_AUDIO_BACKGROUND_MUSIC,Background Music,Musica de Fondo
SETTINGS_AUDIO_VOLUME_SFX,Volume SFX,Volumen SFX
SETTINGS_AUDIO_VOLUME_UI,Volume UI,Volumen UI
SETTINGS_AUDIO_VOLUME_VOICES,Volume Voices,Volumen de voces
SETTINGS_AUDIO_MFL,Mute on Focus Loss, Silenciar al perder el foco
SETTINGS_AUDIO_TYPE_SELECTED,UI Sound Select,Seleccionar sonido UI
MENU_AUTHOR,Author,Autor
MENU_AI_WARNING,Translated by AI,Traducido por IA
MENU_CLOSE,CLOSE,CERRAR
MENU_RESCAN_LANGUAGES,Rescan Languages,Recargar Idiomas
SETTINGS_GAME_DIFFICULTY,Difficulty:,Dificultad:
SETTINGS_GAME_NSFW,Enable Explicit Content (NSFW):,Activar Contenido Explícito (NSFW):
SETTINGS_GAME_TEXT_SPEED,Auto Text Speed:,Velocidad de Texto Auto:
SETTINGS_GAME_AUTOSAVE,Auto-Save Interval:,Intervalo de Autoguardado:
SETTINGS_GAME_SAVE_STYLE,Save Menu Style:,Estilo del Menú de Guardado:
DIFF_NORMAL,Normal,Normal
STYLE_GRID,Grid (Classic),Cuadrícula (Clásico)
STYLE_LIST,List (Modern),Lista (Moderno)
TIME_NEVER,Never,Nunca
TIME_5M,5 Minutes,5 Minutos
TIME_15M,15 Minutes,15 Minutos
TIME_30M,30 Minutes,30 Minutos
TIME_1H,1 Hour,1 Hora
TIME_2H,2 Hours,2 Horas
TIME_5H,5 Hours,5 Horas
TIME_12H,12 Hours,12 Horas
TIME_1D,1 Day,1 Día
TIME_1W,1 Week,1 Semana
CREDITS_THANKS_TITLE,Special Thanks,Agradecimientos Especiales
CREDITS_FRAMEWORK_TITLE,Framework Details,Detalles del Framework
CREDITS_DEVELOPED_WITH,Developed with,Desarrollado con
CREDITS_VERSION,Version,Versión
CREDITS_UPDATED,Updated,Actualizado
MENU_YES,Yes,Sí
MENU_NO,No,No
APP_QUIT_TITLE,Quit Game,Salir del Juego
APP_QUIT_MSG,Are you sure you want to quit?,¿Estás seguro de que quieres salir?
LANG_REIMPORT_TITLE,Reimport Languages,Reimportar Idiomas
LANG_REIMPORT_MSG,Are you sure you want to scan and reload all language files?,¿Estás seguro de que deseas escanear y recargar todos los archivos de idioma?
SETTINGS_VIDEO_SAVE_CHANGE,APPLY CHANGES,APLICAR CAMBIOS
SETTINGS_GAME_SAVE_CHANGE,APPLY CHANGES,APLICAR CAMBIOS
SETTINGS_DISCARD_TITLE,Unsaved Changes,Cambios sin guardar
SETTINGS_DISCARD_MSG,Are you sure you want to exit without applying changes?,¿Estás seguro de que deseas salir sin aplicar los cambios?
SETTINGS_RESTORE_TITLE,Restore Defaults,Restaurar Predeterminados
SETTINGS_RESTORE_MSG,Are you sure you want to restore all settings to their default values?,¿Estás seguro de que deseas restaurar todas las configuraciones a sus valores de fábrica?
SETTINGS_SAVE_LOC_GLOBAL,Global (AppData),Global (AppData)
SETTINGS_SAVE_LOC_VERSION,Version Folder (Portable),Carpeta de Versión (Portátil)
SAVE_IMPORT_GAME,IMPORT GAME,IMPORTAR PARTIDA
SAVE_EXPORT_GAME,EXPORT GAMES,EXPORTAR PARTIDAS
SAVE_BACK,RETURN,REGRESAR
SAVE_MENU_LOADSAVE,MENU LOADSAVE,MENU GUARDARCARGAR
SAVE_BTN_SAVE,SAVE,GUARDAR
SAVE_BTN_LOAD,LOAD,GARGAR
PAGE_TITLE_SAVES_MODERN,SAVED GAMES,PARTIDAS GUARDADAS
PAGE_TITLE_SAVE,SAVE GAME,GUARDAR PARTIDA
PAGE_TITLE_LOAD,LOAD GAME,CARGAR PARTIDA
PAGE_SAVELOAD_BTN_ADDNEWSLOT,ADD NEW SLOT,AGREGAR OTRO ESPACIO
WORD_SAVE_GAME,SAVE GAME,GUARDAR PARTIDA
WORD_LOAD_GAME,LOAD GAME,CARGAR PARTIDA
WORD_RETURN_MAINMENU,RETURN TO MAIN MENU,REGRESAR AL MENU PRINCIPAL
